Product Title,Seller SKU Id,Sub-category,Listing Status,MRP,Your Selling Price,Fulfillment By,System Stock count,Procurement SLA,Procurement Type,Package Length - Length of the package in cms,Package Breadth - Breadth of the package in cms,Package Height - Height of the package in cms,Package Weight - Weight of the package in Kgs,Local Delivery Charge to Customer (per qty),Zonal Delivery Charge to Customer (per qty),National Delivery Charge to Customer (per qty),Harmonized System Nomenclature - HSN,Tax Code,Country of Origin ISO code,Listing Archival
"WARD D (Paperback, SARAH J.MAAS)",Ward D Eng,book,ACTIVE,899,298,Seller,20,1,express,15,20,3,0.3,0,0,0,49011010,GST_0,IN,NONE
"Ward D A Taut Psychological Thriller (Paperback, Freida McFadden)",Ward D - Eng,book,ACTIVE,699,351,Seller,20,1,express,15,20,3,0.3,0,0,0,49011010,GST_0,IN,NONE
"Warriors of Kurukshetra ( 4 books set ) (English, BOX Set, Sheth Tripti, Bhatt Mamta)",Warriors of Kurukshetra ( 4 books set ),book,ACTIVE,999,751,Seller,3,1,express,15,3,25,1,0,0,0,49011010,GST_0,IN,NONE
"Welcome to the Hyunam-dong Bookshop (Paperback, Bo-reum Hwang)",Welcome to the Hyunam-dong Bookshop,book,ACTIVE,499,281,Seller,10,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Welcome to the Hyunam-Dong Bookshop (Paperback, Hwang bo reum)","Welcome to the Hyunam-Dong Bookshop  (Paperback, Hwang bo reum)",book,ACTIVE,799,286,Seller,10,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Welcome to the Hyunam-Dong Bookshop (Paperback, Hwang Bo-reum)",Welcome to the Hyunam-Dong Bookshop  (Paperback),book,ACTIVE,899,286,Seller,10,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Welcome to the Hyunam-Dong Bookshop (Paperback, Hwang Bo-reum)","Welcome to the Hyunam-Dong Bookshop  (Paperback, Hwang Bo-reum)",book,ACTIVE,799,281,Seller,10,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Welcome to the Hyunam-dong Bookshop: A Novel (Paperback, Hwang Bo-Reum)","Welcome to the Hyunam-dong Bookshop (English, Paperback)",book,ACTIVE,499,280,Seller,9,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Why Nations Fail (Paperback, Daron Acemoglu)","Why Nations Fail  (Paperback, Daron Acemoglu)",book,ACTIVE,599,361,Seller,19,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"Winning with AI: 50 Ways Leaders Use ChatGPT & Copilot to Succeed at Work-Life Case Studies from Business Leaders Across 23 Countries (Paperback, Sandeep Kaul)",Winning with AI,book,ACTIVE,449,426,Seller,0,1,express,15,3,20,0.2,0,0,0,49011010,GST_0,IN,NONE
"You Become What You Think - You Become What You Think + Master Your Mindset: How To Get What You Truly Deserve (Paperback, Shubham Kumar Singh, Mindset Reading)",You Became what U think+Master your mindset,book,ACTIVE,699,300,Seller,20,1,express,15,20,3,0.3,0,0,0,49011010,GST_0,IN,NONE
"you only live once (Paperback, Stuti Changle)","You only live once  (Paperback, Stuti Changle)",book,ACTIVE,677,281,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Your Next Five Moves (English, Hardcover, Bet-David Patrick)",Your Next Five Moves English,book,ACTIVE,2519,335,Seller,17,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Your Next Five Moves (English, Paperback, unknown)",Your Next Five Moves,book,ACTIVE,601,378,Seller,19,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Your Next Five Moves (Paperback, Patrick Bet-David)","Your Next Five Moves  (Paperback, Patrick Bet-David)",book,ACTIVE,699,347,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"You've Reached Sam (English, Paperback, Thao Dustin)",You Have Reached Sam,book,ACTIVE,599,281,Seller,20,1,express,15,3,25,0.3,0,0,0,49011010,GST_0,IN,NONE
"Zero Limits & Hacking the Case Interview (Paperback, Vitale Joe, Taylor Warfield)",Zero Limits + Hacking the Case Interview,book,ACTIVE,1199,380,Seller,1,1,express,15,3,20,0.4,0,0,0,49011010,GST_0,IN,NONE
